,Name,Country,Lattitude,Longitude,Max Temperature (k),% Humidity,Wind Speed,Cloud Coverage,Time
0,Mataura,NZ,-46.19,168.86,294.26,47,4.02,0,22:48 04-10-2020
1,Vaini,TO,-21.2,-175.2,300.15,65,3.6,20,22:48 04-10-2020
2,Bengkulu,ID,-3.8,102.27,302.61,63,0.93,100,22:48 04-10-2020
3,Ilulissat,GL,69.22,-51.1,272.15,46,4.6,61,22:48 04-10-2020
4,Busselton,AU,-33.65,115.33,304.82,28,3.24,51,22:48 04-10-2020
5,Genhe,CN,50.78,121.52,286.3,25,2.51,0,22:48 04-10-2020
6,Pevek,RU,69.7,170.31,261.07,89,9.08,100,22:48 04-10-2020
7,Griffith,US,41.53,-87.42,280.37,65,2.27,75,22:46 04-10-2020
8,Puerto Ayora,EC,-0.74,-90.35,299.82,86,0.45,87,22:48 04-10-2020
9,Port Alfred,ZA,-33.59,26.89,291.18,87,2.77,13,22:40 04-10-2020
10,Talcahuano,CL,-36.72,-73.12,288.15,87,3.6,75,22:48 04-10-2020
11,Dikson,RU,73.51,80.55,261.01,95,4.92,91,22:48 04-10-2020
12,Saint George,US,37.1,-113.58,288.15,41,7.2,1,22:43 04-10-2020
13,São Filipe,CV,14.9,-24.5,297.12,73,3.69,76,22:48 04-10-2020
14,Flinders,AU,-34.58,150.86,298.71,38,14.4,40,22:48 04-10-2020
15,Longyearbyen,SJ,78.22,15.64,251.15,76,2.6,20,22:48 04-10-2020
16,Jimaní,DO,18.49,-71.85,301.15,74,1.0,71,22:48 04-10-2020
17,Pravokubanskiy,RU,43.92,41.88,277.57,53,1.77,6,22:48 04-10-2020
18,Butaritari,KI,3.07,172.79,302.43,73,3.86,60,22:48 04-10-2020
19,Jamestown,US,42.1,-79.24,277.15,80,3.1,90,22:43 04-10-2020
20,Yellowknife,CA,62.46,-114.35,265.15,72,4.6,75,22:48 04-10-2020
21,Saint-Philippe,RE,-21.36,55.77,298.15,73,4.1,39,22:48 04-10-2020
22,Klaksvík,FO,62.23,-6.59,281.15,100,3.1,100,22:48 04-10-2020
23,Balkanabat,TM,39.51,54.37,286.38,47,0.15,66,22:48 04-10-2020
24,Oktyabr'skiy,RU,54.48,53.47,276.49,71,4.39,28,22:48 04-10-2020
25,Ushuaia,AR,-54.8,-68.3,278.15,81,2.6,20,22:43 04-10-2020
26,Ucluelet,CA,48.93,-125.55,286.48,85,0.89,2,22:43 04-10-2020
27,Punta Arenas,CL,-53.15,-70.92,278.15,80,6.2,20,22:45 04-10-2020
28,Hermanus,ZA,-34.42,19.23,289.82,90,2.24,99,22:39 04-10-2020
29,Sandy Bay,AU,-42.91,147.35,287.04,58,9.3,75,22:48 04-10-2020
30,Hīt,IQ,33.64,42.83,290.37,44,2.43,22,22:48 04-10-2020
31,Gmina Strzelin,PL,50.78,17.06,279.26,66,1.0,75,22:48 04-10-2020
32,Puerto Barrios,GT,15.72,-88.6,298.71,71,2.24,56,22:48 04-10-2020
33,Leningradskiy,RU,69.38,178.42,263.96,89,3.47,92,22:48 04-10-2020
34,Hobart,AU,-42.88,147.33,287.04,58,9.3,75,22:46 04-10-2020
35,Arraial do Cabo,BR,-22.97,-42.03,294.15,94,0.5,75,22:48 04-10-2020
36,Zhangaözen,KZ,43.3,52.8,280.45,54,1.78,2,22:48 04-10-2020
37,Gariadhar,IN,21.53,71.58,304.09,27,3.49,0,22:48 04-10-2020
38,Zavitinsk,RU,50.12,129.45,283.23,43,3.27,21,22:48 04-10-2020
39,San Juan de Arama,CO,3.35,-73.89,294.69,72,1.7,97,22:48 04-10-2020
40,Behshahr,IR,36.69,53.55,283.15,87,2.1,90,22:48 04-10-2020
41,New Norfolk,AU,-42.78,147.06,287.04,58,9.3,75,22:48 04-10-2020
42,Upernavik,GL,72.79,-56.15,261.42,85,4.37,0,22:48 04-10-2020
43,Liuzhou,CN,24.31,109.39,295.59,84,1.8,100,22:45 04-10-2020
44,Okato,NZ,-39.2,173.88,292.04,54,2.24,3,22:48 04-10-2020
45,Birao,CF,10.28,22.79,299.36,24,1.4,75,22:44 04-10-2020
46,Zhigansk,RU,66.77,123.37,272.26,95,7.12,33,22:48 04-10-2020
47,Cotia,BR,-23.67,-46.95,290.37,82,2.6,75,22:48 04-10-2020
48,Olafsvik,IS,64.89,-23.71,275.63,81,6.91,22,22:48 04-10-2020
